Wed Mar 18 06:05:01 PDT 2020 - start
* # of countries 152
1/153 - TOTAL - last value from 2020-3-17 with 197146 cases, 7905 deaths, 80840 recovered, 108401 active cases.
2/153 - China - last value from 2020-3-17 with 81058 cases, 3230 deaths, 68798 recovered, 9030 active cases.
3/153 - Italy - last value from 2020-3-17 with 31506 cases, 2503 deaths, 2941 recovered, 26062 active cases.
4/153 - Iran - last value from 2020-3-17 with 16169 cases, 988 deaths, 5389 recovered, 9792 active cases.
5/153 - Spain - last value from 2020-3-17 with 11748 cases, 533 deaths, 1028 recovered, 10187 active cases.
6/153 - Germany - last value from 2020-3-17 with 9257 cases, 24 deaths, 67 recovered, 9166 active cases.
7/153 - Korea, South - last value from 2020-3-17 with 8320 cases, 81 deaths, 1407 recovered, 6832 active cases.
8/153 - France - last value from 2020-3-17 with 7699 cases, 148 deaths, 12 recovered, 7539 active cases.
9/153 - US - last value from 2020-3-17 with 6421 cases, 108 deaths, 17 recovered, 6296 active cases.
10/153 - Switzerland - last value from 2020-3-17 with 2700 cases, 27 deaths, 4 recovered, 2669 active cases.
11/153 - United Kingdom - last value from 2020-3-17 with 1960 cases, 56 deaths, 53 recovered, 1851 active cases.
12/153 - Netherlands - last value from 2020-3-17 with 1708 cases, 43 deaths, 2 recovered, 1663 active cases.
13/153 - Norway - last value from 2020-3-17 with 1463 cases, 3 deaths, 1 recovered, 1459 active cases.
14/153 - Austria - last value from 2020-3-17 with 1332 cases, 3 deaths, 1 recovered, 1328 active cases.
15/153 - Belgium - last value from 2020-3-17 with 1243 cases, 10 deaths, 1 recovered, 1232 active cases.
16/153 - Sweden - last value from 2020-3-17 with 1190 cases, 7 deaths, 1 recovered, 1182 active cases.
17/153 - Denmark - last value from 2020-3-17 with 1024 cases, 4 deaths, 1 recovered, 1019 active cases.
18/153 - Japan - last value from 2020-3-17 with 878 cases, 29 deaths, 144 recovered, 705 active cases.
19/153 - Cruise Ship - last value from 2020-3-17 with 696 cases, 7 deaths, 325 recovered, 364 active cases.
20/153 - Malaysia - last value from 2020-3-17 with 673 cases, 2 deaths, 49 recovered, 622 active cases.
21/153 - Canada - last value from 2020-3-17 with 478 cases, 5 deaths, 9 recovered, 464 active cases.
22/153 - Australia - last value from 2020-3-17 with 452 cases, 5 deaths, 23 recovered, 424 active cases.
23/153 - Portugal - last value from 2020-3-17 with 448 cases, 1 deaths, 3 recovered, 444 active cases.
24/153 - Qatar - last value from 2020-3-17 with 439 cases, 0 deaths, 4 recovered, 435 active cases.
25/153 - Czechia - last value from 2020-3-17 with 396 cases, 0 deaths, 3 recovered, 393 active cases.
26/153 - Greece - last value from 2020-3-17 with 387 cases, 5 deaths, 8 recovered, 374 active cases.
27/153 - Israel - last value from 2020-3-17 with 337 cases, 0 deaths, 11 recovered, 326 active cases.
28/153 - Finland - last value from 2020-3-17 with 321 cases, 0 deaths, 10 recovered, 311 active cases.
29/153 - Brazil - last value from 2020-3-17 with 321 cases, 1 deaths, 2 recovered, 318 active cases.
30/153 - Slovenia - last value from 2020-3-17 with 275 cases, 1 deaths, 0 recovered, 274 active cases.
31/153 - Singapore - last value from 2020-3-17 with 266 cases, 0 deaths, 114 recovered, 152 active cases.
32/153 - Poland - last value from 2020-3-17 with 238 cases, 5 deaths, 13 recovered, 220 active cases.
33/153 - Pakistan - last value from 2020-3-17 with 236 cases, 0 deaths, 2 recovered, 234 active cases.
34/153 - Bahrain - last value from 2020-3-17 with 228 cases, 1 deaths, 81 recovered, 146 active cases.
35/153 - Estonia - last value from 2020-3-17 with 225 cases, 0 deaths, 1 recovered, 224 active cases.
36/153 - Ireland - last value from 2020-3-17 with 223 cases, 2 deaths, 5 recovered, 216 active cases.
37/153 - Iceland - last value from 2020-3-17 with 220 cases, 1 deaths, 0 recovered, 219 active cases.
38/153 - Chile - last value from 2020-3-17 with 201 cases, 0 deaths, 0 recovered, 201 active cases.
39/153 - Egypt - last value from 2020-3-17 with 196 cases, 4 deaths, 32 recovered, 160 active cases.
40/153 - Philippines - last value from 2020-3-17 with 187 cases, 12 deaths, 5 recovered, 170 active cases.
41/153 - Romania - last value from 2020-3-17 with 184 cases, 0 deaths, 16 recovered, 168 active cases.
42/153 - Thailand - last value from 2020-3-17 with 177 cases, 1 deaths, 41 recovered, 135 active cases.
43/153 - Indonesia - last value from 2020-3-17 with 172 cases, 5 deaths, 8 recovered, 159 active cases.
44/153 - Saudi Arabia - last value from 2020-3-17 with 171 cases, 0 deaths, 6 recovered, 165 active cases.
45/153 - Iraq - last value from 2020-3-17 with 154 cases, 11 deaths, 32 recovered, 111 active cases.
46/153 - India - last value from 2020-3-17 with 142 cases, 3 deaths, 14 recovered, 125 active cases.
47/153 - Luxembourg - last value from 2020-3-17 with 140 cases, 1 deaths, 0 recovered, 139 active cases.
48/153 - Kuwait - last value from 2020-3-17 with 130 cases, 0 deaths, 9 recovered, 121 active cases.
49/153 - Lebanon - last value from 2020-3-17 with 120 cases, 3 deaths, 3 recovered, 114 active cases.
50/153 - Peru - last value from 2020-3-17 with 117 cases, 0 deaths, 1 recovered, 116 active cases.
51/153 - Russia - last value from 2020-3-17 with 114 cases, 0 deaths, 8 recovered, 106 active cases.
52/153 - San Marino - last value from 2020-3-17 with 109 cases, 7 deaths, 4 recovered, 98 active cases.
53/153 - United Arab Emirates - last value from 2020-3-17 with 98 cases, 0 deaths, 23 recovered, 75 active cases.
54/153 - Mexico - last value from 2020-3-17 with 82 cases, 0 deaths, 4 recovered, 78 active cases.
55/153 - Armenia - last value from 2020-3-17 with 78 cases, 0 deaths, 1 recovered, 77 active cases.
56/153 - Taiwan* - last value from 2020-3-17 with 77 cases, 1 deaths, 22 recovered, 54 active cases.
57/153 - Slovakia - last value from 2020-3-17 with 72 cases, 0 deaths, 0 recovered, 72 active cases.
58/153 - Panama - last value from 2020-3-17 with 69 cases, 1 deaths, 0 recovered, 68 active cases.
59/153 - Argentina - last value from 2020-3-17 with 68 cases, 2 deaths, 3 recovered, 63 active cases.
60/153 - Bulgaria - last value from 2020-3-17 with 67 cases, 2 deaths, 0 recovered, 65 active cases.
61/153 - Vietnam - last value from 2020-3-17 with 66 cases, 0 deaths, 16 recovered, 50 active cases.
62/153 - Croatia - last value from 2020-3-17 with 65 cases, 0 deaths, 4 recovered, 61 active cases.
63/153 - Colombia - last value from 2020-3-17 with 65 cases, 0 deaths, 1 recovered, 64 active cases.
64/153 - Serbia - last value from 2020-3-17 with 65 cases, 0 deaths, 1 recovered, 64 active cases.
65/153 - South Africa - last value from 2020-3-17 with 62 cases, 0 deaths, 0 recovered, 62 active cases.
66/153 - Algeria - last value from 2020-3-17 with 60 cases, 4 deaths, 12 recovered, 44 active cases.
67/153 - Ecuador - last value from 2020-3-17 with 58 cases, 2 deaths, 0 recovered, 56 active cases.
68/153 - Brunei - last value from 2020-3-17 with 56 cases, 0 deaths, 0 recovered, 56 active cases.
69/153 - Albania - last value from 2020-3-17 with 55 cases, 1 deaths, 0 recovered, 54 active cases.
70/153 - Hungary - last value from 2020-3-17 with 50 cases, 1 deaths, 2 recovered, 47 active cases.
71/153 - Latvia - last value from 2020-3-17 with 49 cases, 0 deaths, 1 recovered, 48 active cases.
72/153 - Turkey - last value from 2020-3-17 with 47 cases, 1 deaths, 0 recovered, 46 active cases.
73/153 - Cyprus - last value from 2020-3-17 with 46 cases, 0 deaths, 0 recovered, 46 active cases.
74/153 - Sri Lanka - last value from 2020-3-17 with 44 cases, 0 deaths, 1 recovered, 43 active cases.
75/153 - Costa Rica - last value from 2020-3-17 with 41 cases, 0 deaths, 0 recovered, 41 active cases.
76/153 - Andorra - last value from 2020-3-17 with 39 cases, 0 deaths, 1 recovered, 38 active cases.
77/153 - Morocco - last value from 2020-3-17 with 38 cases, 2 deaths, 1 recovered, 35 active cases.
78/153 - Malta - last value from 2020-3-17 with 38 cases, 0 deaths, 2 recovered, 36 active cases.
79/153 - Belarus - last value from 2020-3-17 with 36 cases, 0 deaths, 3 recovered, 33 active cases.
