Thu Mar 19 12:05:01 PDT 2020 - start
* # of countries 152
1/153 - TOTAL - last value from 2020-3-18 with 214910 cases, 8733 deaths, 83207 recovered, 122970 active cases.
2/153 - China - last value from 2020-3-18 with 81102 cases, 3241 deaths, 69755 recovered, 8106 active cases.
3/153 - Italy - last value from 2020-3-18 with 35713 cases, 2978 deaths, 4025 recovered, 28710 active cases.
4/153 - Iran - last value from 2020-3-18 with 17361 cases, 1135 deaths, 5389 recovered, 10837 active cases.
5/153 - Spain - last value from 2020-3-18 with 13910 cases, 623 deaths, 1081 recovered, 12206 active cases.
6/153 - Germany - last value from 2020-3-18 with 12327 cases, 28 deaths, 105 recovered, 12194 active cases.
7/153 - France - last value from 2020-3-18 with 9105 cases, 148 deaths, 12 recovered, 8945 active cases.
8/153 - Korea, South - last value from 2020-3-18 with 8413 cases, 84 deaths, 1540 recovered, 6789 active cases.
9/153 - US - last value from 2020-3-18 with 7783 cases, 118 deaths, 0 recovered, 7665 active cases.
10/153 - Switzerland - last value from 2020-3-18 with 3028 cases, 28 deaths, 15 recovered, 2985 active cases.
11/153 - United Kingdom - last value from 2020-3-18 with 2642 cases, 72 deaths, 67 recovered, 2503 active cases.
12/153 - Netherlands - last value from 2020-3-18 with 2058 cases, 58 deaths, 2 recovered, 1998 active cases.
13/153 - Austria - last value from 2020-3-18 with 1646 cases, 4 deaths, 9 recovered, 1633 active cases.
14/153 - Norway - last value from 2020-3-18 with 1550 cases, 6 deaths, 1 recovered, 1543 active cases.
15/153 - Belgium - last value from 2020-3-18 with 1486 cases, 14 deaths, 31 recovered, 1441 active cases.
16/153 - Sweden - last value from 2020-3-18 with 1279 cases, 10 deaths, 1 recovered, 1268 active cases.
17/153 - Denmark - last value from 2020-3-18 with 1115 cases, 4 deaths, 1 recovered, 1110 active cases.
18/153 - Japan - last value from 2020-3-18 with 889 cases, 29 deaths, 144 recovered, 716 active cases.
19/153 - Malaysia - last value from 2020-3-18 with 790 cases, 2 deaths, 60 recovered, 728 active cases.
20/153 - Cruise Ship - last value from 2020-3-18 with 712 cases, 7 deaths, 325 recovered, 380 active cases.
21/153 - Canada - last value from 2020-3-18 with 657 cases, 8 deaths, 9 recovered, 640 active cases.
22/153 - Australia - last value from 2020-3-18 with 568 cases, 6 deaths, 23 recovered, 539 active cases.
23/153 - Czechia - last value from 2020-3-18 with 464 cases, 0 deaths, 3 recovered, 461 active cases.
24/153 - Qatar - last value from 2020-3-18 with 452 cases, 0 deaths, 4 recovered, 448 active cases.
25/153 - Portugal - last value from 2020-3-18 with 448 cases, 2 deaths, 3 recovered, 443 active cases.
26/153 - Israel - last value from 2020-3-18 with 433 cases, 0 deaths, 11 recovered, 422 active cases.
27/153 - Greece - last value from 2020-3-18 with 418 cases, 5 deaths, 8 recovered, 405 active cases.
28/153 - Brazil - last value from 2020-3-18 with 372 cases, 3 deaths, 2 recovered, 367 active cases.
29/153 - Finland - last value from 2020-3-18 with 336 cases, 0 deaths, 10 recovered, 326 active cases.
30/153 - Singapore - last value from 2020-3-18 with 313 cases, 0 deaths, 114 recovered, 199 active cases.
31/153 - Pakistan - last value from 2020-3-18 with 299 cases, 0 deaths, 2 recovered, 297 active cases.
32/153 - Ireland - last value from 2020-3-18 with 292 cases, 2 deaths, 5 recovered, 285 active cases.
33/153 - Slovenia - last value from 2020-3-18 with 275 cases, 1 deaths, 0 recovered, 274 active cases.
34/153 - Romania - last value from 2020-3-18 with 260 cases, 0 deaths, 19 recovered, 241 active cases.
35/153 - Estonia - last value from 2020-3-18 with 258 cases, 0 deaths, 1 recovered, 257 active cases.
36/153 - Bahrain - last value from 2020-3-18 with 256 cases, 1 deaths, 88 recovered, 167 active cases.
37/153 - Poland - last value from 2020-3-18 with 251 cases, 5 deaths, 13 recovered, 233 active cases.
