Sat Mar 21 18:05:01 PDT 2020 - start
* # of countries 162
1/163 - TOTAL - last value from 2020-3-20 with 272166 cases, 11299 deaths, 87256 recovered, 173611 active cases.
2/163 - China - last value from 2020-3-20 with 81250 cases, 3253 deaths, 71266 recovered, 6731 active cases.
3/163 - Italy - last value from 2020-3-20 with 47021 cases, 4032 deaths, 4440 recovered, 38549 active cases.
4/163 - Spain - last value from 2020-3-20 with 20410 cases, 1043 deaths, 1588 recovered, 17779 active cases.
5/163 - Germany - last value from 2020-3-20 with 19848 cases, 67 deaths, 180 recovered, 19601 active cases.
6/163 - Iran - last value from 2020-3-20 with 19644 cases, 1433 deaths, 6745 recovered, 11466 active cases.
7/163 - US - last value from 2020-3-20 with 19100 cases, 244 deaths, 0 recovered, 18856 active cases.
8/163 - France - last value from 2020-3-20 with 12726 cases, 450 deaths, 12 recovered, 12264 active cases.
9/163 - Korea, South - last value from 2020-3-20 with 8652 cases, 94 deaths, 1540 recovered, 7018 active cases.
10/163 - Switzerland - last value from 2020-3-20 with 5294 cases, 54 deaths, 15 recovered, 5225 active cases.
11/163 - United Kingdom - last value from 2020-3-20 with 4014 cases, 178 deaths, 67 recovered, 3769 active cases.
12/163 - Netherlands - last value from 2020-3-20 with 3003 cases, 107 deaths, 2 recovered, 2894 active cases.
13/163 - Austria - last value from 2020-3-20 with 2388 cases, 6 deaths, 9 recovered, 2373 active cases.
14/163 - Belgium - last value from 2020-3-20 with 2257 cases, 37 deaths, 1 recovered, 2219 active cases.
15/163 - Norway - last value from 2020-3-20 with 1914 cases, 7 deaths, 1 recovered, 1906 active cases.
16/163 - Sweden - last value from 2020-3-20 with 1639 cases, 16 deaths, 16 recovered, 1607 active cases.
17/163 - Denmark - last value from 2020-3-20 with 1337 cases, 9 deaths, 1 recovered, 1327 active cases.
18/163 - Malaysia - last value from 2020-3-20 with 1030 cases, 3 deaths, 87 recovered, 940 active cases.
19/163 - Portugal - last value from 2020-3-20 with 1020 cases, 6 deaths, 5 recovered, 1009 active cases.
20/163 - Japan - last value from 2020-3-20 with 963 cases, 33 deaths, 191 recovered, 739 active cases.
21/163 - Canada - last value from 2020-3-20 with 943 cases, 12 deaths, 9 recovered, 922 active cases.
22/163 - Czechia - last value from 2020-3-20 with 833 cases, 0 deaths, 4 recovered, 829 active cases.
23/163 - Brazil - last value from 2020-3-20 with 793 cases, 11 deaths, 2 recovered, 780 active cases.
24/163 - Australia - last value from 2020-3-20 with 791 cases, 7 deaths, 26 recovered, 758 active cases.
