Fri Mar 27 12:05:01 PDT 2020 - start
* # of countries 175
1/176 - TOTAL - last value from 2020-3-26 with 529591 cases, 23970 deaths, 122150 recovered, 383471 active cases.
2/176 - US - last value from 2020-3-26 with 83836 cases, 1209 deaths, 681 recovered, 81946 active cases.
3/176 - China - last value from 2020-3-26 with 81782 cases, 3291 deaths, 74181 recovered, 4310 active cases.
4/176 - Italy - last value from 2020-3-26 with 80589 cases, 8215 deaths, 10361 recovered, 62013 active cases.
5/176 - Spain - last value from 2020-3-26 with 57786 cases, 4365 deaths, 7015 recovered, 46406 active cases.
6/176 - Germany - last value from 2020-3-26 with 43938 cases, 267 deaths, 5673 recovered, 37998 active cases.
7/176 - France - last value from 2020-3-26 with 29551 cases, 1698 deaths, 4955 recovered, 22898 active cases.
8/176 - Iran - last value from 2020-3-26 with 29406 cases, 2234 deaths, 10457 recovered, 16715 active cases.
9/176 - United Kingdom - last value from 2020-3-26 with 11812 cases, 580 deaths, 150 recovered, 11082 active cases.
10/176 - Switzerland - last value from 2020-3-26 with 11811 cases, 191 deaths, 131 recovered, 11489 active cases.
11/176 - Korea, South - last value from 2020-3-26 with 9241 cases, 131 deaths, 4144 recovered, 4966 active cases.
12/176 - Netherlands - last value from 2020-3-26 with 7468 cases, 435 deaths, 6 recovered, 7027 active cases.
13/176 - Austria - last value from 2020-3-26 with 6909 cases, 49 deaths, 112 recovered, 6748 active cases.
14/176 - Belgium - last value from 2020-3-26 with 6235 cases, 220 deaths, 675 recovered, 5340 active cases.
15/176 - Canada - last value from 2020-3-26 with 4042 cases, 38 deaths, 184 recovered, 3820 active cases.
16/176 - Turkey - last value from 2020-3-26 with 3629 cases, 75 deaths, 26 recovered, 3528 active cases.
17/176 - Portugal - last value from 2020-3-26 with 3544 cases, 60 deaths, 43 recovered, 3441 active cases.
18/176 - Norway - last value from 2020-3-26 with 3369 cases, 14 deaths, 6 recovered, 3349 active cases.
19/176 - Brazil - last value from 2020-3-26 with 2985 cases, 77 deaths, 6 recovered, 2902 active cases.
20/176 - Sweden - last value from 2020-3-26 with 2840 cases, 77 deaths, 16 recovered, 2747 active cases.
21/176 - Australia - last value from 2020-3-26 with 2810 cases, 13 deaths, 172 recovered, 2625 active cases.
22/176 - Israel - last value from 2020-3-26 with 2693 cases, 8 deaths, 68 recovered, 2617 active cases.
23/176 - Malaysia - last value from 2020-3-26 with 2031 cases, 23 deaths, 215 recovered, 1793 active cases.
24/176 - Denmark - last value from 2020-3-26 with 2023 cases, 41 deaths, 50 recovered, 1932 active cases.
25/176 - Czechia - last value from 2020-3-26 with 1925 cases, 9 deaths, 10 recovered, 1906 active cases.
26/176 - Ireland - last value from 2020-3-26 with 1819 cases, 19 deaths, 5 recovered, 1795 active cases.
27/176 - Luxembourg - last value from 2020-3-26 with 1453 cases, 9 deaths, 6 recovered, 1438 active cases.
28/176 - Ecuador - last value from 2020-3-26 with 1403 cases, 34 deaths, 3 recovered, 1366 active cases.
29/176 - Japan - last value from 2020-3-26 with 1387 cases, 47 deaths, 359 recovered, 981 active cases.
30/176 - Chile - last value from 2020-3-26 with 1306 cases, 4 deaths, 22 recovered, 1280 active cases.
31/176 - Poland - last value from 2020-3-26 with 1221 cases, 16 deaths, 7 recovered, 1198 active cases.
32/176 - Pakistan - last value from 2020-3-26 with 1201 cases, 9 deaths, 21 recovered, 1171 active cases.
33/176 - Thailand - last value from 2020-3-26 with 1045 cases, 4 deaths, 88 recovered, 953 active cases.
34/176 - Romania - last value from 2020-3-26 with 1029 cases, 23 deaths, 94 recovered, 912 active cases.
35/176 - Saudi Arabia - last value from 2020-3-26 with 1012 cases, 3 deaths, 33 recovered, 976 active cases.
36/176 - Finland - last value from 2020-3-26 with 958 cases, 5 deaths, 10 recovered, 943 active cases.
37/176 - South Africa - last value from 2020-3-26 with 927 cases, 0 deaths, 12 recovered, 915 active cases.
38/176 - Indonesia - last value from 2020-3-26 with 893 cases, 78 deaths, 35 recovered, 780 active cases.
39/176 - Greece - last value from 2020-3-26 with 892 cases, 26 deaths, 36 recovered, 830 active cases.
40/176 - Russia - last value from 2020-3-26 with 840 cases, 3 deaths, 38 recovered, 799 active cases.
41/176 - Iceland - last value from 2020-3-26 with 802 cases, 2 deaths, 82 recovered, 718 active cases.
42/176 - India - last value from 2020-3-26 with 727 cases, 20 deaths, 45 recovered, 662 active cases.
43/176 - Diamond Princess - last value from 2020-3-26 with 712 cases, 10 deaths, 597 recovered, 105 active cases.
44/176 - Philippines - last value from 2020-3-26 with 707 cases, 45 deaths, 28 recovered, 634 active cases.
45/176 - Singapore - last value from 2020-3-26 with 683 cases, 2 deaths, 172 recovered, 509 active cases.
46/176 - Peru - last value from 2020-3-26 with 580 cases, 9 deaths, 14 recovered, 557 active cases.
47/176 - Slovenia - last value from 2020-3-26 with 562 cases, 6 deaths, 10 recovered, 546 active cases.
48/176 - Panama - last value from 2020-3-26 with 558 cases, 8 deaths, 2 recovered, 548 active cases.
49/176 - Qatar - last value from 2020-3-26 with 549 cases, 0 deaths, 43 recovered, 506 active cases.
50/176 - Estonia - last value from 2020-3-26 with 538 cases, 1 deaths, 8 recovered, 529 active cases.
51/176 - Argentina - last value from 2020-3-26 with 502 cases, 9 deaths, 63 recovered, 430 active cases.
52/176 - Croatia - last value from 2020-3-26 with 495 cases, 3 deaths, 22 recovered, 470 active cases.
53/176 - Egypt - last value from 2020-3-26 with 495 cases, 24 deaths, 102 recovered, 369 active cases.
