Sun Mar 29 12:05:01 PDT 2020 - start
* # of countries 177
1/178 - TOTAL - last value from 2020-3-28 with 660706 cases, 30652 deaths, 139415 recovered, 490639 active cases.
2/178 - US - last value from 2020-3-28 with 121478 cases, 2026 deaths, 1072 recovered, 118380 active cases.
3/178 - Italy - last value from 2020-3-28 with 92472 cases, 10023 deaths, 12384 recovered, 70065 active cases.
4/178 - China - last value from 2020-3-28 with 81999 cases, 3299 deaths, 75100 recovered, 3600 active cases.
5/178 - Spain - last value from 2020-3-28 with 73235 cases, 5982 deaths, 12285 recovered, 54968 active cases.
6/178 - Germany - last value from 2020-3-28 with 57695 cases, 433 deaths, 8481 recovered, 48781 active cases.
7/178 - France - last value from 2020-3-28 with 38105 cases, 2317 deaths, 5724 recovered, 30064 active cases.
8/178 - Iran - last value from 2020-3-28 with 35408 cases, 2517 deaths, 11679 recovered, 21212 active cases.
9/178 - United Kingdom - last value from 2020-3-28 with 17312 cases, 1021 deaths, 151 recovered, 16140 active cases.
10/178 - Switzerland - last value from 2020-3-28 with 14076 cases, 264 deaths, 1530 recovered, 12282 active cases.
11/178 - Netherlands - last value from 2020-3-28 with 9819 cases, 640 deaths, 6 recovered, 9173 active cases.
12/178 - Korea, South - last value from 2020-3-28 with 9478 cases, 144 deaths, 4811 recovered, 4523 active cases.
13/178 - Belgium - last value from 2020-3-28 with 9134 cases, 353 deaths, 1063 recovered, 7718 active cases.
14/178 - Austria - last value from 2020-3-28 with 8271 cases, 68 deaths, 225 recovered, 7978 active cases.
15/178 - Turkey - last value from 2020-3-28 with 7402 cases, 108 deaths, 70 recovered, 7224 active cases.
16/178 - Canada - last value from 2020-3-28 with 5576 cases, 61 deaths, 466 recovered, 5049 active cases.
17/178 - Portugal - last value from 2020-3-28 with 5170 cases, 100 deaths, 43 recovered, 5027 active cases.
18/178 - Norway - last value from 2020-3-28 with 4015 cases, 23 deaths, 7 recovered, 3985 active cases.
19/178 - Brazil - last value from 2020-3-28 with 3904 cases, 111 deaths, 6 recovered, 3787 active cases.
20/178 - Australia - last value from 2020-3-28 with 3640 cases, 14 deaths, 244 recovered, 3382 active cases.
21/178 - Israel - last value from 2020-3-28 with 3619 cases, 12 deaths, 89 recovered, 3518 active cases.
22/178 - Sweden - last value from 2020-3-28 with 3447 cases, 105 deaths, 16 recovered, 3326 active cases.
23/178 - Czechia - last value from 2020-3-28 with 2631 cases, 11 deaths, 11 recovered, 2609 active cases.
24/178 - Ireland - last value from 2020-3-28 with 2415 cases, 36 deaths, 5 recovered, 2374 active cases.
25/178 - Denmark - last value from 2020-3-28 with 2366 cases, 65 deaths, 57 recovered, 2244 active cases.
26/178 - Malaysia - last value from 2020-3-28 with 2320 cases, 27 deaths, 320 recovered, 1973 active cases.
27/178 - Chile - last value from 2020-3-28 with 1909 cases, 6 deaths, 61 recovered, 1842 active cases.
28/178 - Luxembourg - last value from 2020-3-28 with 1831 cases, 18 deaths, 40 recovered, 1773 active cases.
