Mon Mar 30 12:05:01 PDT 2020 - start
* # of countries 177
1/178 - TOTAL - last value from 2020-3-29 with 720117 cases, 33925 deaths, 149082 recovered, 537110 active cases.
2/178 - US - last value from 2020-3-29 with 140886 cases, 2467 deaths, 2665 recovered, 135754 active cases.
3/178 - Italy - last value from 2020-3-29 with 97689 cases, 10779 deaths, 13030 recovered, 73880 active cases.
4/178 - China - last value from 2020-3-29 with 82122 cases, 3304 deaths, 75582 recovered, 3236 active cases.
5/178 - Spain - last value from 2020-3-29 with 80110 cases, 6803 deaths, 14709 recovered, 58598 active cases.
6/178 - Germany - last value from 2020-3-29 with 62095 cases, 533 deaths, 9211 recovered, 52351 active cases.
7/178 - France - last value from 2020-3-29 with 40708 cases, 2611 deaths, 7226 recovered, 30871 active cases.
8/178 - Iran - last value from 2020-3-29 with 38309 cases, 2640 deaths, 12391 recovered, 23278 active cases.
9/178 - United Kingdom - last value from 2020-3-29 with 19780 cases, 1231 deaths, 151 recovered, 18398 active cases.
10/178 - Switzerland - last value from 2020-3-29 with 14829 cases, 300 deaths, 1595 recovered, 12934 active cases.
11/178 - Netherlands - last value from 2020-3-29 with 10930 cases, 772 deaths, 253 recovered, 9905 active cases.
12/178 - Belgium - last value from 2020-3-29 with 10836 cases, 431 deaths, 1359 recovered, 9046 active cases.
13/178 - Korea, South - last value from 2020-3-29 with 9583 cases, 152 deaths, 5033 recovered, 4398 active cases.
14/178 - Turkey - last value from 2020-3-29 with 9217 cases, 131 deaths, 105 recovered, 8981 active cases.
15/178 - Austria - last value from 2020-3-29 with 8788 cases, 86 deaths, 479 recovered, 8223 active cases.
16/178 - Canada - last value from 2020-3-29 with 6280 cases, 64 deaths, 466 recovered, 5750 active cases.
17/178 - Portugal - last value from 2020-3-29 with 5962 cases, 119 deaths, 43 recovered, 5800 active cases.
18/178 - Norway - last value from 2020-3-29 with 4284 cases, 25 deaths, 7 recovered, 4252 active cases.
19/178 - Brazil - last value from 2020-3-29 with 4256 cases, 136 deaths, 6 recovered, 4114 active cases.
20/178 - Israel - last value from 2020-3-29 with 4247 cases, 15 deaths, 132 recovered, 4100 active cases.
21/178 - Australia - last value from 2020-3-29 with 3984 cases, 16 deaths, 244 recovered, 3724 active cases.
