Tue Mar 31 18:05:01 PDT 2020 - start
* # of countries 180
1/181 - TOTAL - last value from 2020-3-31 with 857487 cases, 42107 deaths, 178034 recovered, 637346 active cases.
2/181 - US - last value from 2020-3-31 with 188172 cases, 3873 deaths, 7024 recovered, 177275 active cases.
3/181 - Italy - last value from 2020-3-31 with 105792 cases, 12428 deaths, 15729 recovered, 77635 active cases.
4/181 - Spain - last value from 2020-3-31 with 95923 cases, 8464 deaths, 19259 recovered, 68200 active cases.
5/181 - China - last value from 2020-3-31 with 82279 cases, 3309 deaths, 76206 recovered, 2764 active cases.
6/181 - Germany - last value from 2020-3-31 with 71808 cases, 775 deaths, 16100 recovered, 54933 active cases.
7/181 - France - last value from 2020-3-31 with 52827 cases, 3532 deaths, 9513 recovered, 39782 active cases.
8/181 - Iran - last value from 2020-3-31 with 44605 cases, 2898 deaths, 14656 recovered, 27051 active cases.
9/181 - United Kingdom - last value from 2020-3-31 with 25481 cases, 1793 deaths, 179 recovered, 23509 active cases.
10/181 - Switzerland - last value from 2020-3-31 with 16605 cases, 433 deaths, 1823 recovered, 14349 active cases.
11/181 - Turkey - last value from 2020-3-31 with 13531 cases, 214 deaths, 243 recovered, 13074 active cases.
12/181 - Belgium - last value from 2020-3-31 with 12775 cases, 705 deaths, 1696 recovered, 10374 active cases.
13/181 - Netherlands - last value from 2020-3-31 with 12667 cases, 1040 deaths, 253 recovered, 11374 active cases.
14/181 - Austria - last value from 2020-3-31 with 10180 cases, 128 deaths, 1095 recovered, 8957 active cases.
15/181 - Korea, South - last value from 2020-3-31 with 9786 cases, 162 deaths, 5408 recovered, 4216 active cases.
16/181 - Canada - last value from 2020-3-31 with 8527 cases, 101 deaths, 1592 recovered, 6834 active cases.
17/181 - Portugal - last value from 2020-3-31 with 7443 cases, 160 deaths, 43 recovered, 7240 active cases.
18/181 - Brazil - last value from 2020-3-31 with 5717 cases, 201 deaths, 127 recovered, 5389 active cases.
19/181 - Israel - last value from 2020-3-31 with 5358 cases, 20 deaths, 224 recovered, 5114 active cases.
20/181 - Norway - last value from 2020-3-31 with 4641 cases, 39 deaths, 13 recovered, 4589 active cases.
21/181 - Australia - last value from 2020-3-31 with 4559 cases, 18 deaths, 358 recovered, 4183 active cases.
22/181 - Sweden - last value from 2020-3-31 with 4435 cases, 180 deaths, 16 recovered, 4239 active cases.
23/181 - Czechia - last value from 2020-3-31 with 3308 cases, 31 deaths, 45 recovered, 3232 active cases.
24/181 - Ireland - last value from 2020-3-31 with 3235 cases, 71 deaths, 5 recovered, 3159 active cases.
