,date,state,cases,newcases,deaths,newdeaths
0,2020-03-13,Alabama,6,,0,
1,2020-03-14,Alabama,12,6.0,0,0.0
2,2020-03-15,Alabama,23,11.0,0,0.0
3,2020-03-16,Alabama,29,6.0,0,0.0
4,2020-03-17,Alabama,39,10.0,0,0.0
5,2020-03-18,Alabama,51,12.0,0,0.0
6,2020-03-19,Alabama,78,27.0,0,0.0
7,2020-03-20,Alabama,106,28.0,0,0.0
8,2020-03-21,Alabama,131,25.0,0,0.0
9,2020-03-22,Alabama,157,26.0,0,0.0
10,2020-03-23,Alabama,196,39.0,0,0.0
11,2020-03-24,Alabama,242,46.0,0,0.0
12,2020-03-25,Alabama,386,144.0,1,1.0
13,2020-03-26,Alabama,538,152.0,3,2.0
14,2020-03-27,Alabama,639,101.0,4,1.0
15,2020-03-28,Alabama,720,81.0,4,0.0
16,2020-03-29,Alabama,830,110.0,5,1.0
17,2020-03-30,Alabama,947,117.0,11,6.0
18,2020-03-31,Alabama,999,52.0,14,3.0
19,2020-04-01,Alabama,1108,109.0,28,14.0
20,2020-04-02,Alabama,1270,162.0,32,4.0
21,2020-04-03,Alabama,1535,265.0,38,6.0
22,2020-04-04,Alabama,1632,97.0,44,6.0
23,2020-04-05,Alabama,1840,208.0,45,1.0
24,2020-04-06,Alabama,2005,165.0,53,8.0
25,2020-04-07,Alabama,2197,192.0,64,11.0
26,2020-04-08,Alabama,2498,301.0,67,3.0
27,2020-04-09,Alabama,2838,340.0,78,11.0
28,2020-04-10,Alabama,3008,170.0,80,2.0
29,2020-04-11,Alabama,3262,254.0,93,13.0
30,2020-04-12,Alabama,3583,321.0,93,0.0
31,2020-04-13,Alabama,3805,222.0,104,11.0
32,2020-04-14,Alabama,3953,148.0,114,10.0
33,2020-04-15,Alabama,4241,288.0,123,9.0
34,2020-04-16,Alabama,4404,163.0,137,14.0
35,2020-04-17,Alabama,4572,168.0,151,14.0
36,2020-04-18,Alabama,4723,151.0,147,-4.0
37,2020-04-19,Alabama,4903,180.0,160,13.0
38,2020-04-20,Alabama,5078,175.0,164,4.0
